order,species,specimen no.,fL,fPW,fDW,fCr-Ca,fM-L,tbL,tbPW,tbDW,tbCr-Ca,tbM-L,tmtL,tmtD-P,tmtM-L
Galliformes,Leipoa ocellata,B6721,76.3,19.3,16.1,8.4,8.2,120.5,15.1,11.6,6.7,6.5,73.3,4.5,6.5
Galliformes,Leipoa ocellata,B31806,85.6,20.9,16.5,8.9,8.7,126.8,17.7,12,5.5,6.8,79.8,4.3,6.3
Galliformes,Leipoa ocellata,B23580,81,21.1,16.7,8.8,8.6,,,,,,74.3,4.6,7.1
Galliformes,Leipoa ocellata,B34172,81.7,19.7,16.8,9.3,8.5,124.5,17,12.7,6.2,7.2,76.6,4.5,7.5
Galliformes,Leipoa ocellata,B34887.1,82.4,20.3,17.4,9,8.8,126.3,17.8,12.9,6.4,6.9,,,
Galliformes,Leipoa ocellata,B9276,84.5,20,18,8.8,8.2,,,,,,75.3,4.5,6.9
Galliformes,Leipoa ocellata,B9057,81.2,19.7,16.1,7.5,8.1,124.5,15.7,12.9,5.7,6.8,75.9,4.3,6.8
Galliformes,Leipoa ocellata,B20194,83.9,20.8,17.8,8.8,9,125.7,16.5,12.9,6.4,7.7,77.8,5.4,7.1
Galliformes,Leipoa ocellata,B20161,84,21.5,18.2,8.2,8.4,124.3,17,12.6,5.8,7.1,78.6,4.6,7
Anseriformes,Cereopsis novaehollandiae,B20407,89.7,26.1,24.9,10.6,11,181,21.9,20.1,8.4,10,118.6,7.7,8.6
Anseriformes,Cereopsis novaehollandiae,B34095,95.8,25,24.7,9.9,10.9,169,19.6,18.3,8.9,10.4,114.2,8.3,8.3
Anseriformes,Cereopsis novaehollandiae,B13849,91.5,24.9,22.7,10.6,10.1,166,19.5,17,8.3,10.1,110.7,7.9,7.9
Anseriformes,Cereopsis novaehollandiae,B31962,95.8,26.1,23.3,10.6,9.9,178,21.1,18.1,8.2,9.8,115.4,9.1,9.2
Anseriformes,Cereopsis novaehollandiae,B24792,89.3,24,22,11.7,9.8,162,18.1,16.3,8.3,9.5,106.6,7.9,8.1
Anseriformes,Cereopsis novaehollandiae,B10905,88.6,25.3,21.8,9.8,9.5,161,18.2,16.2,7.8,9.5,107.4,7.1,7.5
Anseriformes,Cereopsis novaehollandiae,B8862,93.5,25.2,23.2,12.5,10.5,167,19.3,16.8,8.1,9.7,107.7,8,8
Anseriformes,Cereopsis novaehollandiae,B10727,91.3,25.7,24,12.1,10.3,174,20.8,16.8,8.9,11.1,113.2,8.5,9
Anseriformes,Cereopsis novaehollandiae,B8860,103.9,26,24.5,10.3,11.5,185,21.5,17.7,9.8,10.8,122.7,8.8,9.8
Anseriformes,Cereopsis novaehollandiae,B25675,91.2,23.7,22,10.2,9.9,170,18.9,16.7,8.1,9.6,110.5,8.6,7.8
Anseriformes,Cereopsis novaehollandiae,B20294,100.5,27.6,26.3,12.5,11.4,181,21.3,19.9,9.4,10.4,118.9,8.7,9.8
Anseriformes,Cereopsis novaehollandiae,B24946,92.4,23.9,22.1,11,9.9,168,18.7,17.2,7.6,9.5,109,7.5,8.7
Anseriformes,Cereopsis novaehollandiae,B11419,89.2,22.6,20.9,9.8,8.9,161,18.3,15.6,7.8,9,105.9,6.7,7.5
Anseriformes,Cereopsis novaehollandiae,40906,81.5,22,20.5,8.4,9.5,153,,16.6,6.3,8.7,100.1,6.2,6.9
Anseriformes,Cereopsis novaehollandiae,B25672,88.3,24,22.1,10.1,10.2,157,19.4,17.5,7.9,9.4,104.2,7.1,7.9
Anseriformes,Cereopsis novaehollandiae,B8858,100.2,27.6,25,10.8,11.7,177,22.5,18.5,8.9,10.7,118.4,9.1,9.3
Anseriformes,Cereopsis novaehollandiae,B31605,97.9,25.7,24.1,12.5,10.5,176,20.6,17,8.4,10.7,116,9,8.9
Anseriformes,Cereopsis novaehollandiae,B11418,89,24.5,24,10,10.2,166,19.5,16.9,8.3,10,110.8,7.6,7.8
Anseriformes,Cereopsis novaehollandiae,B11392,86.8,23.6,22.6,8.9,9.8,164,18.2,17.7,8.6,9.4,106.3,7.1,8
Anseriformes,Cereopsis novaehollandiae,B5124,88.4,23.3,21.2,8.4,9,165,17.1,16.8,8,8.7,105.4,5.9,7.1
Anseriformes,Cereopsis novaehollandiae,B10904,96.6,26.7,24,9.6,10.3,178,19.5,17.2,8.4,10.1,120.1,7.8,8.9
Anseriformes,Cereopsis novaehollandiae,B25676,97,28.4,25.5,10.1,10.9,181,21.9,19.3,9.1,10.8,111.6,8.2,8.6
