order,species,specimen no.,fL,tbL,tmtL
Dinornithiformes,Dinornis robustus,MNZ S23342,331,667,358
Dinornithiformes,Dinornis robustus,MNZ S211,296,605,304
Dinornithiformes,Dinornis robustus,MNZ S23654,303,631,322
Dinornithiformes,Dinornis robustus,AIM352,295,605,315
Dinornithiformes,Dinornis robustus,MNZ S25765,334,663,358
Dinornithiformes,Dinornis robustus,WO30.41,315,685,365
Dinornithiformes,Dinornis robustus,In situ,300,642,325
Dinornithiformes,Dinornis robustus,MNZ S32677,337,660,364
Dinornithiformes,Dinornis robustus," Hochstetter, Wien",335,680,365
Dinornithiformes,Dinornis robustus,York,356,684,383
Dinornithiformes,Pachyornis elephantopus,Av8382,300,535,222
Dinornithiformes,Pachyornis elephantopus,Av8381,308,564,221
Dinornithiformes,Pachyornis elephantopus,Av8389,315,532,216
Dinornithiformes,Pachyornis elephantopus,Av8387,320,592,240
Dinornithiformes,Pachyornis elephantopus,Av8385,298,506,206
Dinornithiformes,Pachyornis elephantopus,Av8388,310,553,217
Dinornithiformes,Pachyornis elephantopus,Av8386,292,537,212
Dinornithiformes,Pachyornis elephantopus,Av15029,315,568,232
Dinornithiformes,Pachyornis elephantopus,Av8383,298,530,224
Dinornithiformes,Pachyornis elephantopus,Av8716,307,547,220
Dinornithiformes,Pachyornis elephantopus,Av8348,294,547,225
Aepyornithiformes,Aepyornis hildebrandti,Hansford & Turvey 2018,258.4,,310.24
Aepyornithiformes,Aepyornis maximus,Hansford & Turvey 2018,338.89,614.2,399.75
Aepyornithiformes,Mullerornis modestus,Hansford & Turvey 2018,205,475.2,306.85
Dromornithidae,Illbandornis lawsoni,Worthy & Yates 2015,266.5,505,421.8
Dromornithidae,Illbandornis woodburnei,Worthy & Yates 2015,299.2,508.6,349.9
Dromornithidae,Dromornis stirtoni,Handley et al. 2016,365,736,412
Dromornithidae,Genyornis newtoni,SAMA P.53833,268,528,
Dromornithidae,Genyornis newtoni,SAMA P.59517,345,534,
Dromornithidae,Genyornis newtoni,SAMA P.59516,304,,
Dromornithidae,Genyornis newtoni,FU2763,324,,352
Dromornithidae,Genyornis newtoni,SAMA P.59518,,521,346
Dromornithidae,Genyornis newtoni,SAMA P.59519,312,547,353
