"order","species","specimen.no.","fL","fPW","fDW","fCr.Ca","fM.L","tbL","tbPW","tbDW","tbCr.Ca","tbM.L","tmtL","tmtD.P","tmtM.L","fCIRC","tbCIRC","fCSA","tbCSA"
"Dinornithiformes","Dinornis robustus"," Hochstetter, Wien",2.8238984891003,1.86926369844577,1.87730240773082,NA,1.08730540118096,3.56304275931362,2.05319307419448,1.66592277442774,NA,0.982531768813161,2.90966531085773,NA,0.880968968183128,NA,NA,NA,NA
"Dinornithiformes","Dinornis robustus","York",2.80883786424036,0.475507662649144,1.9106408758089,NA,0.937597327342297,2.30298521447928,2.08314427692221,0.457158523980948,NA,-0.192503544639259,2.88194212256897,NA,0.821637446247429,NA,NA,NA,NA
"Dinornithiformes","Pachyornis elephantopus","Av8382",2.68248371974405,0.370602092842831,1.94851454466384,NA,0.91052687781217,1.9433386384265,2.06629758032023,0.23578287003388,NA,-0.426905103041357,2.38137862696012,NA,0.948993158639966,NA,NA,NA,NA
"Dinornithiformes","Pachyornis elephantopus","Av8381",2.68902748369271,0.0214306988084817,1.89340163384983,NA,0.85074799882976,1.59431101550878,2.06487317461971,-0.166032257485892,NA,-0.733410050756804,2.35709040223689,NA,0.984279391454283,NA,NA,NA,NA
"Dinornithiformes","Pachyornis elephantopus","Av8389",2.81274938727427,0.0411421985630665,2.00181917105794,NA,0.910324350158692,1.57285355954146,2.13535056368246,-0.118822451129612,NA,-0.811969631689557,2.4354551561328,NA,1.12061975899505,NA,NA,NA,NA
"Dinornithiformes","Pachyornis elephantopus","Av8387",2.78450326047137,0.0375464519650679,1.99978888638593,NA,0.90800256278822,1.66746289574271,2.12212773857817,-0.110873553153205,NA,-0.784218106416971,2.49682118801958,NA,1.09371970858331,NA,NA,NA,NA
"Dinornithiformes","Pachyornis elephantopus","Av8385",2.80680778444039,-0.183649188015766,1.97724874839057,NA,0.893903931853249,1.47853928980386,2.07952759751099,-0.282089260829018,NA,-0.919355982994507,2.43759046672457,NA,1.11704748316746,NA,NA,NA,NA
"Dinornithiformes","Pachyornis elephantopus","Av8388",2.73417316112772,0.371974672423942,1.92485454880573,NA,0.847748465358586,1.96883380265118,2.04102598056777,0.186075294282103,NA,-0.496376597161094,2.37749821718899,NA,0.948844582229955,NA,NA,NA,NA
"Dinornithiformes","Pachyornis elephantopus","Av8386",2.47323065464515,0.22612040755931,1.64066393883546,NA,0.667677863284757,1.87738951383854,1.77321059479744,0.0800277890618141,NA,-0.601946090900006,2.15306312704888,NA,0.856919862923285,NA,NA,NA,NA
"Dinornithiformes","Pachyornis elephantopus","Av15029",2.63639883511425,0.535006154498984,1.86055993870919,NA,0.755027207196504,2.03294048676154,1.98977167018919,0.255167259508229,NA,-0.248737921413188,2.33056356795492,NA,1.13232143833797,NA,NA,NA,NA
"Dinornithiformes","Pachyornis elephantopus","Av8383",2.43100841062164,0.417697139430837,1.71064866653681,NA,0.605115935024123,1.95437569758251,1.88720651861401,0.296619207877601,NA,-0.348209395411537,2.14556097597127,NA,0.828259486338333,NA,NA,NA,NA
"Dinornithiformes","Pachyornis elephantopus","Av8716",2.4949240509004,0.295210846971902,1.69532998847041,NA,0.659896601423828,1.90831176716474,1.83698050553343,0.168211156210595,NA,-0.484114029829095,2.16170384966556,NA,0.878950167486513,NA,NA,NA,NA
"Dinornithiformes","Pachyornis elephantopus","Av8348",2.69458973457338,0.485039390478985,1.9808232668107,NA,0.962253685816124,2.06210037418863,2.06086597448423,0.332362550270027,NA,-0.199297160398805,2.42711036943912,NA,1.01834315246717,NA,NA,NA,NA
"Aepyornithiformes","Aepyornis hildebrandti","Hansford & Turvey 2018",2.44153229626691,2.01546868023285,1.73152552185729,1.09980719347042,1.04136506048686,NA,NA,NA,NA,NA,2.6243697158528,0.34464682340969,0.889070032434196,NA,NA,NA,NA
"Aepyornithiformes","Aepyornis maximus","Hansford & Turvey 2018",2.90924789550868,2.33300038313549,2.30813550251967,1.34049606567413,1.5778109498411,3.54263337455515,2.11204753678488,1.89291264166026,0.925816435380524,0.959612225780637,3.07441167627436,0.603860500864242,1.38871791489822,NA,NA,NA,NA
"Aepyornithiformes","Mullerornis modestus","Hansford & Turvey 2018",2.36395994028188,1.54505201579916,1.60227274735129,0.51322103964174,0.763022382613171,3.17350372532367,1.59724497934942,1.34286691832569,0.17600929991856,0.410631950036155,2.76730898997858,-0.1087889155729,0.327484434485486,NA,NA,NA,NA
"Dromornithidae","Illbandornis lawsoni","Worthy & Yates 2015",1.36040154046263,1.59261808630445,0.511225745251224,NA,-0.429483513971077,3.15846556266369,0.457158523980948,1.193766134088,NA,0.576742649000857,1.8195585649014,NA,-0.878583557976112,NA,NA,NA,NA
"Dromornithidae","Illbandornis woodburnei","Worthy & Yates 2015",1.36218413763082,1.71665254230975,0.448563634312543,NA,-0.368636194917381,3.21036309807586,0.324510985642564,1.33797089263911,NA,0.652467061391732,1.51871929090414,NA,-0.809630724180032,NA,NA,NA,NA
"Dromornithidae","Dromornis stirtoni","Handley et al. 2016 - SS",1.15915411759322,2.0526779015259,0.547523794705261,NA,NA,3.56015781944801,0.670902815865765,1.98936562211157,NA,NA,1.28028011336025,NA,NA,2.45609592601234,0.577376757854942,NA,NA
"Dromornithidae","Dromornis stirtoni","Handley et al. 2016 - Male",1.27560203607353,2.70809409026344,0.636149111438673,NA,NA,3.83953031262625,0.837865695347582,2.09452856916221,NA,NA,NA,NA,NA,2.63612585159495,0.655152058564288,NA,NA
"Dromornithidae","Dromornis stirtoni","Handley et al. 2016 - Female",1.1515568207443,2.08067423156456,0.517735106269169,NA,NA,3.67675741451728,0.770411569522135,2.05960738159684,NA,NA,NA,NA,NA,2.47449036753457,0.579269118386441,NA,NA
"Dromornithidae","Genyornis newtoni","SAMA P.53833",0.842989601027255,2.21565977183557,0.089870570623511,0.947013757167197,-0.31242997788169,3.37881058164125,NA,1.43119443274084,-1.05413038385863,0.974645695829283,NA,NA,NA,2.54037485147074,0.194644543458786,4.92934256491473,2.61052773962897
"Dromornithidae","Genyornis newtoni","SAMA P.59517",1.49702021816021,1.97846399941111,0.703331808378384,0.89349448714679,-0.108079292675295,3.27799670260872,0.469716957196879,1.42364438373918,-0.751955424228458,0.907621866406,NA,NA,NA,2.27167676582353,0.609584509203734,4.91567623440942,2.95200885546727
"Dromornithidae","Genyornis newtoni","SAMA P.59516",1.3084191207359,1.94397132919032,0.672795784314137,0.633776311609076,-0.0964680734606107,NA,NA,1.19462286893063,-0.734842764366438,0.69440093342551,NA,NA,NA,NA,NA,NA,NA
"Dromornithidae","Genyornis newtoni","FU2763",1.47156258383272,1.97757639709538,0.602002283164989,0.856003124536507,-0.0911448973949566,NA,NA,NA,NA,NA,1.55445024363849,0.333813742120201,-0.648186681335207,2.15271475214584,0.642058152179992,4.83995254750211,3.04684348412226
"Dromornithidae","Genyornis newtoni","SAMA P.59518",NA,NA,NA,NA,NA,2.9896649658696,NA,NA,NA,NA,1.52793746609407,0.154914933074567,-0.561963206375908,NA,NA,NA,NA
"Dromornithidae","Genyornis newtoni","SAMA P.59519",1.34686615255224,1.7378896028892,0.597691140522633,0.246234726111485,-0.00787985083272367,3.07252510573518,0.361754237748514,NA,-0.565324085254638,0.738368216865323,1.47033102167606,0.653755333401745,-0.704760700944718,2.14668250109004,0.647029983841499,4.41955304881822,3.12842958766763
